date,new_cases
1/3/20,0.0
1/4/20,0.0
1/5/20,0.0
1/6/20,0.0
1/7/20,0.0
1/8/20,0.0
1/9/20,0.0
1/10/20,0.0
1/11/20,0.0
1/12/20,0.0
1/13/20,0.0
1/14/20,0.0
1/15/20,0.0
1/16/20,0.0
1/17/20,0.0
1/18/20,0.0
1/19/20,0.0
1/20/20,0.0
1/21/20,0.0
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,5.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,3.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,3.0
3/12/20,0.0
3/13/20,0.0
3/14/20,3.0
3/15/20,6.0
3/16/20,5.0
3/17/20,0.0
3/18/20,0.0
3/19/20,0.0
3/20/20,0.0
3/21/20,0.0
3/22/20,10.0
3/23/20,6.0
3/24/20,2.0
3/25/20,32.0
3/26/20,6.0
3/27/20,11.0
3/28/20,15.0
3/29/20,8.0
3/30/20,0.0
3/31/20,52.0
4/1/20,26.0
4/2/20,43.0
4/3/20,34.0
4/4/20,1.0
4/5/20,29.0
4/6/20,38.0
4/7/20,30.0
4/8/20,56.0
4/9/20,21.0
4/10/20,77.0
4/11/20,0.0
4/12/20,34.0
4/13/20,52.0
4/14/20,58.0
4/15/20,105.0
4/16/20,24.0
4/17/20,51.0
4/18/20,63.0
4/19/20,25.0
4/20/20,63.0
4/21/20,30.0
4/22/20,66.0
4/23/20,84.0
4/24/20,50.0
4/25/20,104.0
4/26/20,133.0
4/27/20,68.0
4/28/20,172.0
4/29/20,124.0
4/30/20,0.0
5/1/20,344.0
5/2/20,298.0
5/3/20,0.0
5/4/20,0.0
5/5/20,0.0
5/6/20,755.0
5/7/20,168.0
5/8/20,171.0
5/9/20,0.0
5/10/20,839.0
5/11/20,262.0
5/12/20,303.0
5/13/20,0.0
5/14/20,372.0
5/15/20,714.0
5/16/20,349.0
5/17/20,233.0
5/18/20,437.0
5/19/20,583.0
5/20/20,490.0
5/21/20,531.0
5/22/20,540.0
5/23/20,736.0
5/24/20,716.0
5/25/20,512.0
5/26/20,737.0
5/27/20,548.0
5/28/20,637.0
5/29/20,643.0
5/30/20,784.0
5/31/20,651.0
6/1/20,656.0
6/2/20,742.0
6/3/20,775.0
6/4/20,624.0
6/5/20,1078.0
6/6/20,582.0
6/7/20,791.0
6/8/20,575.0
6/9/20,305.0
6/10/20,920.0
6/11/20,748.0
6/12/20,656.0
6/13/20,556.0
6/14/20,664.0
6/15/20,761.0
6/16/20,106.0
6/17/20,1241.0
6/18/20,463.0
6/19/20,541.0
6/20/20,419.0
6/21/20,536.0
6/22/20,310.0
6/23/20,338.0
6/24/20,159.0
6/25/20,535.0
6/26/20,85.0
6/27/20,356.0
6/28/20,351.0
6/29/20,271.0
6/30/20,121.0
7/1/20,403.0
7/2/20,260.0
7/3/20,302.0
7/4/20,348.0
7/5/20,279.0
7/6/20,113.0
7/7/20,320.0
7/8/20,210.0
7/9/20,59.0
7/10/20,541.0
7/11/20,157.0
7/12/20,100.0
7/13/20,4.0
7/14/20,285.0
7/15/20,200.0
7/16/20,130.0
7/17/20,159.0
7/18/20,60.0
7/19/20,186.0
7/20/20,34.0
7/21/20,106.0
7/22/20,112.0
7/23/20,188.0
7/24/20,66.0
7/25/20,55.0
7/26/20,121.0
7/27/20,106.0
7/28/20,105.0
7/29/20,103.0
7/30/20,71.0
7/31/20,0.0
8/1/20,168.0
8/2/20,0.0
8/3/20,0.0
8/4/20,37.0
8/5/20,82.0
8/6/20,67.0
8/7/20,41.0
8/8/20,78.0
8/9/20,39.0
8/10/20,0.0
8/11/20,215.0
8/12/20,76.0
8/13/20,79.0
8/14/20,7.0
8/15/20,120.0
8/16/20,45.0
8/17/20,0.0
8/18/20,3.0
8/19/20,0.0
8/20/20,160.0
8/21/20,97.0
8/22/20,38.0
8/23/20,59.0
