timestamp,value
1,5
2,7
3,4
4,5
5,0
6,2
7,2
8,9
9,11
10,9
11,10
12,14
13,6
14,9
15,8
16,12
17,9
18,6
19,21
20,5
21,4
22,12
23,13
24,2
25,5
26,13
27,2
28,5
29,8
30,7
31,12
32,17
33,9
34,21
35,11
36,4
37,9
38,7
39,17
40,17
41,7
42,6
43,15
44,7
45,13
46,9
47,5
48,11
49,9
50,2
51,6
52,6
53,4
54,6
55,9
56,15
57,10
58,4
59,12
60,20
61,11
62,23
63,12
64,8
65,24
66,7
67,9
68,11
69,8
70,3
71,12
72,10
73,2
74,6
75,9
76,8
77,8
78,3
79,6
80,10
81,6
82,16
83,10
84,7
85,15
86,6
87,2
88,17
89,8
90,7
91,7
92,2
93,8
94,8
95,6
96,9
97,6
98,7
99,4
100,2
101,0
102,14
103,8
104,11
105,13
106,9
107,11
108,9
109,12
110,22
111,2
112,16
113,5
114,4
115,9
116,8
117,3
118,10
119,2
120,4
121,0
122,4
123,0
124,5
125,13
126,6
127,5
128,4
129,6
130,4
131,9
132,18
133,2
134,7
135,27
136,9
137,10
138,8
139,1
140,12
141,8
142,6
143,4
144,8
145,4
146,8
147,2
148,8
149,7
150,2
151,6
152,7
153,4
154,8
155,17
156,10
157,4
158,4
159,13
160,8
161,5
162,5
163,4
164,5
165,3
166,6
167,6
168,4
169,5
170,12
171,23
172,6
173,15
174,5
175,8
176,16
177,13
178,12
179,14
180,4
181,9
182,6
183,4
184,26
185,12
186,5
187,18
188,6
189,6
190,8
191,13
192,9
193,8
194,0
195,16
196,4
197,8
198,4
199,0
200,4
201,13
202,14
203,20
204,3
205,15
206,8
207,9
208,8
209,14
210,8
211,11
212,15
213,13
214,4
215,7
216,13
217,16
218,10
219,9
220,4
221,12
222,2
223,7
224,13
225,21
226,12
227,26
228,18
229,4
230,2
231,13
232,24
233,15
234,18
235,16
236,8
237,11
238,2
239,7
240,9
241,8
242,4
243,14
244,10
245,4
246,7
247,21
248,14
249,12
250,22
251,16
252,10
253,13
254,21
255,16
256,8
257,8
258,16
259,16
260,12
261,10
262,6
263,9
264,8
265,21
266,4
267,16
268,19
269,27
270,14
271,19
272,15
273,25
274,12
275,17
276,25
277,26
278,22
279,16
280,12
281,30
282,28
283,19
284,12
285,4
286,22
287,10
288,8
289,7
290,10
291,37
292,12
293,12
294,19
295,15
296,8
297,11
298,26
299,35
300,32
301,10
302,17
303,10
304,18
305,7
306,13
307,6
308,5
309,10
310,17
311,7
312,25
313,5
314,18
315,8
316,19
317,11
318,6
319,8
320,18
321,11
322,9
323,15
324,13
325,13
326,11
327,18
328,20
329,7
330,9
331,15
332,15
333,10
334,20
335,17
336,8
337,8
338,20
339,7
340,20
341,24
342,12
343,16
344,10
345,13
346,18
347,38
348,17
349,18
350,27
351,6
352,8
353,18
354,4
355,14
356,18
357,10
358,20
359,15
360,8
361,13
362,13
363,4
364,2
365,19
366,9
367,15
368,20
369,16
370,19
371,29
372,23
373,15
374,11
375,27
376,18
377,22
378,12
379,16
380,20
381,20
382,9
383,9
384,9
385,2
386,20
387,10
388,7
389,10
390,13
391,20
392,33
393,14
394,20
395,30
396,14
397,23
398,20
399,18
400,17
401,8
402,20
403,10
404,13
405,12
406,4
407,11
408,12
409,11
410,22
411,8
412,14
413,8
414,14
415,17
416,31
417,15
418,13
419,13
420,8
421,14
422,15
423,6
424,10
425,21
426,10
427,12
428,4
429,10
430,9
431,8
432,9
433,3
434,11
435,15
436,11
437,14
438,5
439,10
440,8
441,12
442,33
443,12
444,11
445,3
446,18
447,13
448,17
449,21
450,10
451,18
452,19
453,10
454,8
455,6
456,5
457,10
458,18
459,14
460,16
461,10
462,13
463,6
464,29
465,10
466,22
467,9
468,23
469,16
470,6
471,20
472,23
473,19
474,11
475,8
476,8
477,11
478,17
479,0
480,8
481,10
482,9
483,15
484,4
485,28
486,20
487,16
488,15
489,15
490,24
491,14
492,17
493,8
494,27
495,14
496,6
497,12
498,9
499,13
500,15
501,6
502,13
503,15
504,11
505,14
506,5
507,16
508,10
509,9
510,23
511,22
512,22
513,10
514,27
515,23
516,20
517,6
518,13
519,18
520,33
521,15
522,3
523,6
524,21
525,14
526,31
527,10
528,32
529,9
530,18
531,13
532,10
533,21
534,4
535,4
536,22
537,8
538,7
539,19
540,22
541,15
542,19
543,26
544,22
545,22
546,16
547,18
548,20
549,13
550,18
551,15
552,9
553,24
554,12
555,13
556,12
557,2
558,10
559,13
560,9
561,19
562,9
563,27
564,12
565,21
566,6
567,24
568,20
569,16
570,14
571,14
572,7
573,17
574,17
575,21
576,23
577,7
578,7
579,9
580,10
581,14
582,4
583,16
584,17
585,10
586,28
587,21
588,18
589,35
590,16
591,15
592,11
593,15
594,15
595,8
596,23
597,11
598,8
599,10
600,15
601,9
602,2
603,7
604,7
605,11
606,7
607,15
608,13
609,16
610,15
611,30
612,13
613,9
614,6
615,14
616,9
617,13
618,6
619,23
620,26
621,6
622,4
623,11
624,9
625,9
626,4
627,11
628,15
629,7
630,14
631,16
632,2
633,6
634,19
635,8
636,14
637,17
638,12
639,12
640,13
641,17
642,4
643,2
644,14
645,24
646,22
647,16
648,26
649,12
650,13
651,13
652,6
653,10
654,8
655,6
656,23
657,14
658,10
659,15
660,14
661,18
662,13
663,42
664,24
665,20
666,6
667,12
668,6
669,12
670,23
671,18
672,4
673,4
674,9
675,17
676,8
677,9
678,1
