date,new_cases,outliers
1/3/20,0,0
1/4/20,0,0
1/5/20,0,0
1/6/20,0,0
1/7/20,0,0
1/8/20,0,0
1/9/20,0,0
1/10/20,0,0
1/11/20,0,0
1/12/20,0,0
1/13/20,0,0
1/14/20,0,0
1/15/20,0,0
1/16/20,0,0
1/17/20,0,0
1/18/20,0,0
1/19/20,0,0
1/20/20,1,1
1/21/20,0,0
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,5,1
1/26/20,1,0
1/27/20,0,0
1/28/20,1,1
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,1,0
2/3/20,1,0
2/4/20,3,0
2/5/20,4,0
2/6/20,2,0
2/7/20,0,0
2/8/20,0,0
2/9/20,1,1
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,2,0
2/15/20,1,0
2/16/20,1,0
2/17/20,0,0
2/18/20,0,0
2/19/20,2,0
2/20/20,5,0
2/21/20,3,0
2/22/20,1,1
2/23/20,5,0
2/24/20,8,0
2/25/20,0,0
2/26/20,4,0
2/27/20,4,0
2/28/20,8,0
2/29/20,5,0
3/1/20,4,0
3/2/20,9,0
3/3/20,18,0
3/4/20,35,0
3/5/20,51,0
3/6/20,70,0
3/7/20,78,0
3/8/20,130,0
3/9/20,146,0
3/10/20,212,0
3/11/20,390,0
3/12/20,497,0
3/13/20,525,0
3/14/20,727,0
3/15/20,968,0
3/16/20,1219,0
3/17/20,2135,0
3/18/20,2369,0
3/19/20,3229,0
3/20/20,4862,0
3/21/20,6113,0
3/22/20,7559,0
3/23/20,9110,0
3/24/20,10765,0
3/25/20,10754,0
3/26/20,11332,0
3/27/20,14115,0
3/28/20,18474,0
3/29/20,20344,0
3/30/20,20673,0
3/31/20,26161,0
4/1/20,15536,0
4/2/20,23260,0
4/3/20,28674,0
4/4/20,29790,0
4/5/20,32057,0
4/6/20,32134,0
4/7/20,26984,0
4/8/20,28629,0
4/9/20,29355,0
4/10/20,34148,0
4/11/20,34743,0
4/12/20,33179,0
4/13/20,31535,0
4/14/20,27094,0
4/15/20,25244,0
4/16/20,25259,0
4/17/20,25208,0
4/18/20,31494,0
4/19/20,30316,0
4/20/20,28281,0
4/21/20,26070,0
4/22/20,26428,0
4/23/20,25927,0
4/24/20,30470,0
4/25/20,33211,0
4/26/20,34778,0
4/27/20,33603,0
4/28/20,26063,0
4/29/20,23758,0
4/30/20,23935,0
5/1/20,26774,0
5/2/20,31221,0
5/3/20,33082,0
5/4/20,28292,0
5/5/20,25927,0
5/6/20,22324,0
5/7/20,22878,0
5/8/20,25440,0
5/9/20,28552,0
5/10/20,28833,0
5/11/20,25917,0
5/12/20,20656,0
5/13/20,19950,0
5/14/20,23902,0
5/15/20,17336,0
5/16/20,34643,0
5/17/20,26628,0
5/18/20,26081,0
5/19/20,19917,0
5/20/20,22744,0
5/21/20,21923,0
5/22/20,23506,0
5/23/20,26191,0
5/24/20,25963,0
5/25/20,21465,0
5/26/20,20651,0
5/27/20,19379,0
5/28/20,17510,0
5/29/20,19508,0
5/30/20,24182,0
5/31/20,23741,0
6/1/20,24127,0
6/2/20,21466,0
6/3/20,17157,0
6/4/20,20974,0
6/5/20,20695,0
6/6/20,20870,0
6/7/20,24491,0
6/8/20,23285,0
6/9/20,18455,0
6/10/20,18151,0
6/11/20,18581,0
6/12/20,22181,0
6/13/20,22890,0
6/14/20,28333,0
6/15/20,26434,0
6/16/20,20778,0
6/17/20,20591,0
6/18/20,24777,0
6/19/20,25816,0
6/20/20,28520,0
6/21/20,33105,0
6/22/20,33467,0
6/23/20,27345,0
6/24/20,28698,0
6/25/20,37887,0
6/26/20,37320,0
6/27/20,47021,0
6/28/20,46540,0
6/29/20,43653,0
6/30/20,37583,0
7/1/20,38517,0
7/2/20,47253,0
7/3/20,59342,0
7/4/20,55452,0
7/5/20,60366,0
7/6/20,48978,0
7/7/20,40413,0
7/8/20,50763,0
7/9/20,56754,0
7/10/20,64775,0
7/11/20,61943,0
7/12/20,68579,0
7/13/20,68262,0
7/14/20,58680,0
7/15/20,56287,0
7/16/20,64516,0
7/17/20,72389,0
7/18/20,69181,0
7/19/20,76952,0
7/20/20,67324,0
7/21/20,60012,0
7/22/20,58519,0
7/23/20,63336,0
7/24/20,72416,0
7/25/20,73142,0
7/26/20,73152,0
7/27/20,61596,0
7/28/20,57759,0
7/29/20,54007,0
7/30/20,58708,0
7/31/20,64855,0
8/1/20,66141,0
8/2/20,68184,0
8/3/20,56412,0
8/4/20,50849,0
8/5/20,45329,0
8/6/20,52056,0
8/7/20,55592,0
8/8/20,53165,0
