Date_reported,New_cases
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,1
1/21/20,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,5
1/26/20,1
1/27/20,0
1/28/20,1
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,1
2/3/20,1
2/4/20,3
2/5/20,4
2/6/20,2
2/7/20,0
2/8/20,0
2/9/20,1
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,2
2/15/20,1
2/16/20,1
2/17/20,0
2/18/20,0
2/19/20,2
2/20/20,5
2/21/20,3
2/22/20,1
2/23/20,5
2/24/20,8
2/25/20,0
2/26/20,4
2/27/20,4
2/28/20,8
2/29/20,5
3/1/20,4
3/2/20,9
3/3/20,18
3/4/20,35
3/5/20,51
3/6/20,70
3/7/20,78
3/8/20,130
3/9/20,146
3/10/20,212
3/11/20,390
3/12/20,497
3/13/20,525
3/14/20,727
3/15/20,968
3/16/20,1219
3/17/20,2135
3/18/20,2369
3/19/20,3229
3/20/20,4862
3/21/20,6113
3/22/20,7559
3/23/20,9110
3/24/20,10765
3/25/20,10754
3/26/20,11332
3/27/20,14115
3/28/20,18474
3/29/20,20344
3/30/20,20673
3/31/20,26161
4/1/20,15536
4/2/20,23260
4/3/20,28674
4/4/20,29790
4/5/20,32057
4/6/20,32134
4/7/20,26984
4/8/20,28629
4/9/20,29355
4/10/20,34148
4/11/20,34743
4/12/20,33179
4/13/20,31535
4/14/20,27094
4/15/20,25244
4/16/20,25259
4/17/20,25208
4/18/20,31494
4/19/20,30316
4/20/20,28281
4/21/20,26070
4/22/20,26428
4/23/20,25927
4/24/20,30470
4/25/20,33211
4/26/20,34778
4/27/20,33603
4/28/20,26063
4/29/20,23758
4/30/20,23935
5/1/20,26774
5/2/20,31221
5/3/20,33082
5/4/20,28292
5/5/20,25927
5/6/20,22324
5/7/20,22878
5/8/20,25440
5/9/20,28552
5/10/20,28833
5/11/20,25917
5/12/20,20656
5/13/20,19950
5/14/20,23902
5/15/20,17336
5/16/20,34643
5/17/20,26628
5/18/20,26081
5/19/20,19917
5/20/20,22744
5/21/20,21923
5/22/20,23506
5/23/20,26191
5/24/20,25963
5/25/20,21465
5/26/20,20651
5/27/20,19379
5/28/20,17510
5/29/20,19508
5/30/20,24182
5/31/20,23741
6/1/20,24127
6/2/20,21466
6/3/20,17157
6/4/20,20974
6/5/20,20695
6/6/20,20870
6/7/20,24491
6/8/20,23285
6/9/20,18455
6/10/20,18151
6/11/20,18581
6/12/20,22181
6/13/20,22890
6/14/20,28333
6/15/20,26434
6/16/20,20778
6/17/20,20591
6/18/20,24777
6/19/20,25816
6/20/20,28520
6/21/20,33105
6/22/20,33467
6/23/20,27345
6/24/20,28698
6/25/20,37887
6/26/20,37320
6/27/20,47021
6/28/20,46540
6/29/20,43653
6/30/20,37583
7/1/20,38517
7/2/20,47253
7/3/20,59342
7/4/20,55452
7/5/20,60366
7/6/20,48978
7/7/20,40413
7/8/20,50763
7/9/20,56754
7/10/20,64775
7/11/20,61943
7/12/20,68579
7/13/20,68262
7/14/20,58680
7/15/20,56287
7/16/20,64516
7/17/20,72389
7/18/20,69181
7/19/20,76952
7/20/20,67324
7/21/20,60012
7/22/20,58519
7/23/20,63336
7/24/20,72416
7/25/20,73142
7/26/20,73152
7/27/20,61596
7/28/20,57759
7/29/20,54007
7/30/20,58708
7/31/20,64855
8/1/20,66141
8/2/20,68184
8/3/20,56412
8/4/20,50849
8/5/20,45329
8/6/20,52056
8/7/20,55592
8/8/20,53165
8/9/20,62506
8/10/20,51679
8/11/20,46473
8/12/20,43377
8/13/20,58958
8/14/20,54392
8/15/20,51522
8/16/20,56261
8/17/20,51137
8/18/20,41495
8/19/20,41589
8/20/20,41625
8/21/20,46574
8/22/20,46187
8/23/20,47181
8/24/20,42550
8/25/20,36210
8/26/20,35716
8/27/20,40574
8/28/20,46430
8/29/20,46920
8/30/20,46546
8/31/20,40908
9/1/20,36635
9/2/20,38696
9/3/20,39178
9/4/20,43647
9/5/20,45272
9/6/20,50917
9/7/20,41129
9/8/20,34237
9/9/20,24876
9/10/20,28054
9/11/20,34660
9/12/20,38583
9/13/20,44082
9/14/20,40371
9/15/20,32888
9/16/20,34336
9/17/20,36815
9/18/20,43910
9/19/20,44530
9/20/20,48127
9/21/20,42181
9/22/20,34450
9/23/20,41398
9/24/20,49528
9/25/20,41641
9/26/20,45961
9/27/20,49615
9/28/20,42035
9/29/20,35551
9/30/20,38402
10/1/20,38881
10/2/20,45920
10/3/20,46624
10/4/20,50935
10/5/20,47727
10/6/20,35774
10/7/20,41602
10/8/20,41654
10/9/20,52594
10/10/20,56104
10/11/20,58794
10/12/20,54216
10/13/20,44423
10/14/20,49144
10/15/20,50497
10/16/20,57229
10/17/20,63046
10/18/20,69079
10/19/20,54548
10/20/20,48887
10/21/20,61362
10/22/20,58741
10/23/20,68657
10/24/20,74903
10/25/20,82340
10/26/20,76181
10/27/20,65610
10/28/20,69584
10/29/20,74961
10/30/20,84410
10/31/20,91130
11/1/20,97518
11/2/20,92783
11/3/20,141582
11/4/20,87188
11/5/20,98499
11/6/20,113875
11/7/20,122830
11/8/20,133337
11/9/20,129810
11/10/20,111648
11/11/20,124487
11/12/20,145951
11/13/20,153660
11/14/20,162300
11/15/20,176989
11/16/20,164239
11/17/20,137564
11/18/20,153374
11/19/20,167352
11/20/20,170904
11/21/20,188681
11/22/20,193369
11/23/20,173861
11/24/20,149783
11/25/20,160411
11/26/20,175183
11/27/20,194100
11/28/20,145029
11/29/20,164034
11/30/20,144575
12/1/20,141072
12/2/20,151905
12/3/20,192718
12/4/20,210074
12/5/20,216782
12/6/20,223806
12/7/20,205575
12/8/20,176909
12/9/20,183091
12/10/20,226982
12/11/20,221251
12/12/20,208835
12/13/20,245839
12/14/20,217153
12/15/20,181275
12/16/20,198204
12/17/20,198650
12/18/20,240266
12/19/20,246505
12/20/20,235875
12/21/20,202289
12/22/20,186429
12/23/20,183553
12/24/20,197759
12/25/20,226200
12/26/20,202550
12/27/20,161342
12/28/20,147119
12/29/20,154342
12/30/20,176774
12/31/20,208904
1/1/21,235818
1/2/21,229492
1/3/21,228546
1/4/21,225318
1/5/21,205458
1/6/21,174314
1/7/21,242441
1/8/21,257750
1/9/21,269765
1/10/21,292105
1/11/21,256294
1/12/21,224484
1/13/21,204122
1/14/21,217776
1/15/21,226378
1/16/21,223583
1/17/21,237318
1/18/21,209511
1/19/21,186583
1/20/21,154205
1/21/21,150233
1/22/21,188266
1/23/21,187644
1/24/21,189419
1/25/21,165512
1/26/21,141554
1/27/21,135591
1/28/21,145943
1/29/21,158965
1/30/21,156822
1/31/21,164238
2/1/21,138823
2/2/21,111938
2/3/21,129043
2/4/21,121330
2/5/21,108669
2/6/21,122620
2/7/21,124827
2/8/21,110180
2/9/21,92931
2/10/21,80726
2/11/21,91417
2/12/21,98339
2/13/21,99548
2/14/21,97431
2/15/21,85221
2/16/21,67413
2/17/21,58066
2/18/21,56871
2/19/21,63770
2/20/21,68568
2/21/21,73576
2/22/21,65510
2/23/21,56628
2/24/21,55821
2/25/21,70162
2/26/21,72358
2/27/21,71998
2/28/21,73274
3/1/21,68298
3/2/21,52570
3/3/21,51114
3/4/21,53761
3/5/21,66043
3/6/21,64859
3/7/21,64094
3/8/21,57710
3/9/21,43758
3/10/21,42703
3/11/21,54088
3/12/21,61755
3/13/21,59764
3/14/21,64222
3/15/21,52274
3/16/21,47230
3/17/21,43532
3/18/21,51806
3/19/21,59588
3/20/21,63099
3/21/21,62022
3/22/21,58456
3/23/21,45228
3/24/21,48228
3/25/21,57684
3/26/21,68021
3/27/21,65367
3/28/21,74834
3/29/21,63203
3/30/21,53256
3/31/21,58014
4/1/21,61789
4/2/21,69567
4/3/21,73685
4/4/21,70446
4/5/21,63695
4/6/21,45722
4/7/21,56400
4/8/21,63657
4/9/21,74627
4/10/21,75434
4/11/21,76415
4/12/21,68111
4/13/21,53239
4/14/21,60435
4/15/21,72206
4/16/21,70654
4/17/21,71498
4/18/21,71074
4/19/21,77212
4/20/21,49337
4/21/21,35281
4/22/21,57318
4/23/21,63049
4/24/21,61479
4/25/21,62419
4/26/21,51698
